id,fen,side_to_move,solution_moves,pre_eval_cp,best_eval_cp,played_eval_cp,eval_gap_cp,heuristic_difficulty,is_mate,source_game,created_at,label_good
24,4rrk1/8/3p3p/pp2pPp1/2q2nPP/P1P2R2/1P1B1Q2/4R1K1 b - - 2 29,b,"[""h6h5""]",-138,157,35,122,1000.0,0,cahxree_2024_2025.pgn#2#ply58,2025-12-02 21:17:03,0
25,r1bqkb1r/1ppp1pp1/p1n2n1p/4p3/2PP4/2N1PN2/PPQ2PPP/R1B1KB1R b KQkq - 0 6,b,"[""e5d4""]",12,-18,-118,100,1000.0,0,cahxree_2024_2025.pgn#3#ply12,2025-12-02 21:17:05,0
26,r1bqkb1r/1ppp1pp1/p4n1p/4p3/1nPP4/1QN1PN2/PP3PPP/R1B1KB1R b KQkq - 2 7,b,"[""e5d4""]",72,-71,-135,64,1000.0,0,cahxree_2024_2025.pgn#3#ply14,2025-12-02 21:17:06,0
27,r1bqkb1r/1ppp1pp1/p4n1p/4N3/1nPPp3/1QN1P3/PP3PPP/R1B1KB1R b KQkq - 1 8,b,"[""c7c5""]",45,-55,-124,69,1000.0,0,cahxree_2024_2025.pgn#3#ply16,2025-12-02 21:17:06,0
28,r1b1kb1r/1pppqpp1/p4n1p/2P1N3/1n1Pp3/1QN1P3/PP3PPP/R1B1KB1R b KQkq - 0 9,b,"[""b4c6""]",131,-136,-233,97,1000.0,0,cahxree_2024_2025.pgn#3#ply18,2025-12-02 21:17:07,0
29,r3kb1r/1p2qpp1/p1p1bn1p/2Pp4/3P4/1QNBPP2/PP4PP/R1B2RK1 b kq - 0 15,b,"[""h6h5""]",213,-183,-248,65,1000.0,0,cahxree_2024_2025.pgn#3#ply30,2025-12-02 21:17:10,0
30,r3kb1r/1p2qppn/p1p1b2p/2Pp4/3P3P/1QNBPP2/PP4P1/R1B2RK1 b kq - 0 16,b,"[""g7g5""]",144,-135,-274,139,1000.0,0,cahxree_2024_2025.pgn#3#ply32,2025-12-02 21:17:10,0
31,2r1k2r/4bppn/BQp1b2p/2Pp4/3P3q/2N1PP2/PP4P1/R1B2RK1 b k - 2 19,b,"[""e7d8""]",-57,-19,-333,314,1150.0,0,cahxree_2024_2025.pgn#3#ply38,2025-12-02 21:17:12,0
32,3r1rk1/3bbppn/B6p/2P5/3PQ2q/2N1PP2/PP4P1/R1B2RK1 b - - 2 22,b,"[""h4f6""]",430,-429,-828,399,1150.0,0,cahxree_2024_2025.pgn#3#ply44,2025-12-02 21:17:13,0
33,r1bqr1k1/pp2bpp1/2n2n1p/2pp4/8/P2P1N1P/BPPQ1PP1/RNB2RK1 b - - 4 11,b,"[""c8e6""]",-191,181,122,59,1000.0,0,cahxree_2024_2025.pgn#4#ply22,2025-12-02 21:17:18,0
34,r1b1r1k1/ppq1bpp1/2n4p/2pB4/3p4/P2P1N1P/1PPQ1PP1/R1B2RK1 b - - 0 14,b,"[""e7d6""]",-78,93,33,60,1000.0,0,cahxree_2024_2025.pgn#4#ply28,2025-12-02 21:17:20,0
35,r1b1r1k1/p3bpp1/1pnq3p/2p5/3p1Q2/P2P1N1P/BPP2PP1/R1B2RK1 b - - 1 16,b,"[""c8e6""]",-13,17,-350,367,1150.0,0,cahxree_2024_2025.pgn#4#ply32,2025-12-02 21:17:21,0
36,r5k1/pb3pp1/1pnb3p/2p5/8/P1PP3P/B3rPPN/R1B2RK1 b - - 0 20,b,"[""d6e5""]",-264,301,239,62,1000.0,0,cahxree_2024_2025.pgn#4#ply40,2025-12-02 21:17:23,0
37,4r1k1/pn3pp1/1p1b3p/8/8/P2rB2P/5PPN/R4RK1 b - - 2 27,b,"[""b7a5""]",-255,255,141,114,1000.0,0,cahxree_2024_2025.pgn#4#ply54,2025-12-02 21:17:26,0
38,6k1/R4pp1/1p5p/2n5/8/7P/5PP1/4rNK1 b - - 2 32,b,"[""b6b5""]",-241,213,78,135,1000.0,0,cahxree_2024_2025.pgn#4#ply64,2025-12-02 21:17:29,0
39,8/6p1/5p2/4n2p/4R2P/5P2/5kPK/1r6 b - - 10 47,b,"[""e5d3""]",-611,604,527,77,1050.0,0,cahxree_2024_2025.pgn#4#ply94,2025-12-02 21:17:36,0
40,8/6p1/5p2/4n2p/R6P/5P2/5kPK/4r3 b - - 12 48,b,"[""e1e2""]",-613,617,425,192,1050.0,0,cahxree_2024_2025.pgn#4#ply96,2025-12-02 21:17:36,0
41,r1b1kbnr/p3pppp/2p5/2p5/4P3/5N2/PPP2PPP/RNBK3R b kq - 0 7,b,"[""g8f6""]",26,-28,-119,91,1000.0,0,cahxree_2024_2025.pgn#5#ply14,2025-12-02 21:17:40,0
42,2r2rk1/p3bppp/2p1pn2/2p1N1B1/4P3/5P1P/PPP1KP2/R6R b - - 7 14,b,"[""f6d5""]",110,-114,-189,75,1000.0,0,cahxree_2024_2025.pgn#5#ply28,2025-12-02 21:17:43,0
43,2r2rk1/p3bp2/2p1pn1p/2p1N1p1/4P3/5PBP/PPP1KP2/R6R b - - 1 16,b,"[""f6h5""]",98,-102,-235,133,1000.0,0,cahxree_2024_2025.pgn#5#ply32,2025-12-02 21:17:44,0
44,2r2rk1/p7/2p1p2p/2p1Pppn/2N5/5PPP/PPP1K3/R5R1 b - - 0 20,b,"[""f8d8""]",105,-106,-170,64,1000.0,0,cahxree_2024_2025.pgn#5#ply40,2025-12-02 21:17:46,0
45,2r2rk1/p7/2p1p2p/2p1P1p1/2N2pP1/5PnP/PPP2K2/R5R1 b - - 2 22,b,"[""f8d8""]",68,-72,-234,162,1000.0,0,cahxree_2024_2025.pgn#5#ply44,2025-12-02 21:17:47,0
46,1r1r2k1/8/2p1p2p/p1p1P1p1/2N2pP1/1PP2PnP/P4K2/3R2R1 b - - 1 27,b,"[""d8d5""]",10,-6,-284,278,1000.0,0,cahxree_2024_2025.pgn#5#ply54,2025-12-02 21:17:49,0
47,rn1qkbnr/ppp2ppp/4p3/4Pb2/2Bp4/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,b,"[""a7a6""]",-21,23,-46,69,1000.0,0,cahxree_2024_2025.pgn#6#ply10,2025-12-02 21:17:58,0
48,rn1qkb1r/pp2nppp/4p3/2p1Pb2/2BpN3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 3 7,b,"[""f5e4""]",-41,41,-12,53,1000.0,0,cahxree_2024_2025.pgn#6#ply14,2025-12-02 21:17:59,0
49,rn1qkb1r/pp3ppp/4p3/1BpnPb2/3pN3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 5 8,b,"[""b8d7""]",-14,7,-66,73,1000.0,0,cahxree_2024_2025.pgn#6#ply16,2025-12-02 21:17:59,0
50,r2qk2r/p3bppp/2p1p3/2pnPb2/2PpN3/3P1N2/PP3PPP/R1BQ1RK1 b kq c3 0 11,b,"[""d4c3""]",-14,29,-118,147,1000.0,0,cahxree_2024_2025.pgn#6#ply22,2025-12-02 21:18:01,0
51,r2qk2r/p3bppp/1np1p3/2p1Pb2/2PpN3/3P1N2/PP2QPPP/R1B2RK1 b kq - 2 12,b,"[""b6d7""]",91,-92,-176,84,1000.0,0,cahxree_2024_2025.pgn#6#ply24,2025-12-02 21:18:01,0
52,r2q1rk1/p3bppp/1np1p3/2p1P3/2Pp2Q1/3P1N2/PP3PPP/R1B2RK1 b - - 2 14,b,"[""g8h8""]",165,-161,-219,58,1000.0,0,cahxree_2024_2025.pgn#6#ply28,2025-12-02 21:18:02,0
53,r5k1/p1q1b1pp/1np1pr2/2p1N3/2Pp2Q1/3P4/PP3PPP/R1B1R1K1 b - - 3 17,b,"[""b6d7""]",87,-115,-250,135,1000.0,0,cahxree_2024_2025.pgn#6#ply34,2025-12-02 21:18:03,0
54,r5k1/p1q1b1pp/1np1p3/2p1r3/2PpRBQ1/3P4/PP3PPP/R5K1 b - - 1 19,b,"[""e5e4""]",-453,440,-461,901,1200.0,0,cahxree_2024_2025.pgn#6#ply38,2025-12-02 21:18:04,1
55,rnbqk1nr/pp1pppbp/6p1/2p5/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,b,"[""g8f6""]",9,-9,-238,229,1000.0,0,cahxree_2024_2025.pgn#7#ply8,2025-12-02 21:18:06,0
56,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PPQPPPPP/R1B1KBNR b KQkq - 3 3,b,"[""b8c6""]",-12,14,-37,51,1000.0,0,cahxree_2024_2025.pgn#8#ply6,2025-12-02 21:18:09,0
57,r1bq1rk1/ppp2p1p/2np2p1/2b1p3/2P4P/3BPQ2/PP1P1PP1/R1B1K1NR b KQ - 1 9,b,"[""f7f5""]",-124,141,22,119,1000.0,0,cahxree_2024_2025.pgn#8#ply18,2025-12-02 21:18:12,0
58,r1bqr1k1/ppp2p1p/2np2p1/2b1p3/2P4P/3BPQ1N/PP1P1PP1/R1B1K2R b KQ - 3 10,b,"[""d8h4""]",-170,179,69,110,1000.0,0,cahxree_2024_2025.pgn#8#ply20,2025-12-02 21:18:12,0
59,r2q2k1/ppp2p1p/3p2p1/2b2b2/1nP2Q1P/4P2N/PP1P1PP1/R1B2RK1 b - - 4 14,b,"[""d6d5""]",0,0,-227,227,1000.0,0,cahxree_2024_2025.pgn#8#ply28,2025-12-02 21:18:14,0
60,r2q2k1/ppp2p1p/3p2p1/2b5/1nP2Q1P/4P2P/PP1P1P2/R1B2RK1 b - - 0 15,b,"[""d6d5""]",192,-190,-317,127,1000.0,0,cahxree_2024_2025.pgn#8#ply30,2025-12-02 21:18:14,0
61,4r1k1/ppp2p1p/3b2p1/3q4/1P5P/P2nP2P/3P1PQ1/R1B2RK1 b - - 2 20,b,"[""d5c4""]",-38,22,-87,109,1000.0,0,cahxree_2024_2025.pgn#8#ply40,2025-12-02 21:18:17,0
62,4r1k1/ppp2p1p/3b2p1/4nq2/1P2P2P/P6P/3P1PQ1/1RB2RK1 b - - 0 22,b,"[""e5f3""]",-617,620,-226,846,1200.0,0,cahxree_2024_2025.pgn#8#ply44,2025-12-02 21:18:18,1
63,4r1k1/ppp1bp1p/6p1/4P3/1P1P2P1/P2n4/5P2/1RB2RK1 b - - 0 27,b,"[""d3c1""]",404,-411,-475,64,1000.0,0,cahxree_2024_2025.pgn#8#ply54,2025-12-02 21:18:20,0
64,rnbqk2r/pp1pppbp/6p1/2pPP3/4n3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6,b,"[""e7e6""]",176,-188,-342,154,1000.0,0,cahxree_2024_2025.pgn#9#ply12,2025-12-02 21:18:23,0
65,rnbqk2r/pp2ppbp/3p2p1/2pPP3/4n3/2PB1N2/PP3PPP/RNBQK2R b KQkq - 1 7,b,"[""f7f5""]",191,-202,-417,215,1000.0,0,cahxree_2024_2025.pgn#9#ply14,2025-12-02 21:18:24,0
66,rn1qk2r/pp2ppbp/3p2p1/2pPPb2/Q3n3/2PB1N2/PP3PPP/RNB1K2R b KQkq - 3 8,b,"[""b7b5""]",324,-311,-443,132,1000.0,0,cahxree_2024_2025.pgn#9#ply16,2025-12-02 21:18:24,0
67,rn2k2r/pp1qppbp/3p2p1/1BpPPb2/Q3n3/2P2N2/PP3PPP/RNB1K2R b KQkq - 5 9,b,"[""c5c4""]",439,-435,-667,232,1000.0,0,cahxree_2024_2025.pgn#9#ply18,2025-12-02 21:18:25,0
68,r1b2rk1/ppp1qpbp/6p1/3pNp2/3P2P1/1P1PPQ1P/P4P2/RN2K2R b KQ - 3 12,b,"[""c7c5""]",-423,457,302,155,1050.0,0,cahxree_2024_2025.pgn#10#ply24,2025-12-02 21:18:31,0
69,r1b2rk1/pp2qpbp/2p3p1/3pNP2/3P4/1P1PPQ1P/P4P2/RN2K2R b KQ - 0 13,b,"[""c8f5""]",-351,350,273,77,1000.0,0,cahxree_2024_2025.pgn#10#ply26,2025-12-02 21:18:31,0
70,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,b,"[""a7a6""]",24,-34,-89,55,1000.0,0,cahxree_2024_2025.pgn#11#ply6,2025-12-02 21:18:33,0
71,4rrk1/pbq2ppp/2p5/2ppb1P1/6QP/2NP4/PPP5/R1B1R1K1 b - - 0 17,b,"[""e5d4""]",-597,602,477,125,1050.0,0,cahxree_2024_2025.pgn#11#ply34,2025-12-02 21:18:40,0
72,2b1r1k1/p4ppp/2p5/2ppq1P1/7P/3P4/PPP1N1Qb/R1BK4 b - - 6 22,b,"[""c8h3""]",-593,611,439,172,1050.0,0,cahxree_2024_2025.pgn#11#ply44,2025-12-02 21:18:42,0
73,2b1r1k1/p4ppp/2p5/3pq1P1/2pP3P/8/PPP1N1Qb/R1BK4 b - - 0 23,b,"[""e5e4""]",-560,572,360,212,1050.0,0,cahxree_2024_2025.pgn#11#ply46,2025-12-02 21:18:43,1
74,2b1r1k1/p4ppp/2pq4/3p2P1/2pP3P/2P5/PP2N1Qb/R1BK4 b - - 0 24,b,"[""d6g6""]",-603,607,500,107,1050.0,0,cahxree_2024_2025.pgn#11#ply48,2025-12-02 21:18:43,0
75,4r1k1/p4ppp/2pq4/3p1bP1/2pP3P/2P5/PP2N1Qb/R1BK4 w - - 1 25,w,"[""b2b3""]",-498,567,486,81,1050.0,0,cahxree_2024_2025.pgn#11#ply49,2025-12-02 21:18:43,0
76,4r1k1/p4ppp/2pq4/3p1bP1/2pP3P/2P5/PP1BN1Qb/R2K4 b - - 2 25,b,"[""d6b8""]",-508,525,408,117,1050.0,0,cahxree_2024_2025.pgn#11#ply50,2025-12-02 21:18:44,0
77,4r1k1/p4ppp/2pq4/3p2P1/2pPb2P/2P5/PP1BNQ1b/R2K4 b - - 4 26,b,"[""f7f6""]",-430,425,360,65,1050.0,0,cahxree_2024_2025.pgn#11#ply52,2025-12-02 21:18:44,0
78,rn1qk1nr/pp3pbp/3p2p1/2pP4/4PPb1/3B1N2/PP4PP/RNBQK2R b KQkq - 2 8,b,"[""g8e7""]",58,-63,-164,101,1000.0,0,cahxree_2024_2025.pgn#12#ply16,2025-12-02 21:18:48,0
79,rn2k1nr/pp3pbp/1q1p2p1/2pP4/4PPb1/2NB1N2/PP4PP/R1BQK2R b KQkq - 4 9,b,"[""g8f6""]",88,-93,-176,83,1000.0,0,cahxree_2024_2025.pgn#12#ply18,2025-12-02 21:18:48,0
80,r3k1nr/pp3pbp/nq1p2p1/2pP4/4PPb1/P1NB1N2/1P4PP/R1BQK2R b KQkq - 0 10,b,"[""c5c4""]",118,-146,-505,359,1150.0,0,cahxree_2024_2025.pgn#12#ply20,2025-12-02 21:18:49,0
81,r3k1nr/ppn2pbp/1q1p2p1/2pP4/4PPb1/P1NB1N2/1P2Q1PP/R1B1K2R b KQkq - 2 11,b,"[""f7f5""]",41,-84,-247,163,1000.0,0,cahxree_2024_2025.pgn#12#ply22,2025-12-02 21:18:49,0
82,r3k1nr/ppn2p1p/1q1p2p1/2pP4/4PPb1/P1PB1N2/4Q1PP/R1B1K2R b KQkq - 0 12,b,"[""g4f3""]",293,-274,-383,109,1000.0,0,cahxree_2024_2025.pgn#12#ply24,2025-12-02 21:18:50,0
83,r3k2r/ppn1np1p/3p2p1/2pP4/4PPb1/PqP2N2/2B1Q1PP/R1B2RK1 b kq - 4 14,b,"[""b3b6""]",336,-341,-522,181,1000.0,0,cahxree_2024_2025.pgn#12#ply28,2025-12-02 21:18:51,0
84,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PPQPPPPP/RNB1KBNR b KQkq - 1 2,b,"[""b8c6""]",-17,8,-42,50,1000.0,0,cahxree_2024_2025.pgn#13#ply4,2025-12-02 21:18:52,0
85,r1bq1rk1/ppp2pp1/2p4p/8/1PP1n3/P7/1Q1PBPPP/RN2K2R b KQ - 1 11,b,"[""e4g5""]",-128,126,-71,197,1000.0,0,cahxree_2024_2025.pgn#13#ply22,2025-12-02 21:18:57,0
86,r1bq1rk1/ppp2pp1/2p4p/8/1PP5/P7/1Q1PBKPP/RN5R b - - 0 12,b,"[""c8g4""]",99,-82,-210,128,1000.0,0,cahxree_2024_2025.pgn#13#ply24,2025-12-02 21:18:57,0
87,r1b2rk1/ppp2pp1/2p4p/8/1PP5/P4BPq/1Q1P1K1P/RN5R b - - 2 14,b,"[""f7f5""]",96,-107,-220,113,1000.0,0,cahxree_2024_2025.pgn#13#ply28,2025-12-02 21:18:58,0
88,3r1rk1/ppp2pp1/2p1b2p/2P5/1P6/P1N2BPq/1Q1P1K1P/R6R b - - 2 16,b,"[""d8d3""]",145,-159,-306,147,1000.0,0,cahxree_2024_2025.pgn#13#ply32,2025-12-02 21:18:59,0
89,3r1rk1/ppp2pp1/2p4p/2P5/1P4q1/P5P1/1Q1PNK1P/R6R b - - 1 18,b,"[""d8d3""]",-16,15,-382,397,1150.0,0,cahxree_2024_2025.pgn#13#ply36,2025-12-02 21:19:00,0
90,3r1Nk1/pppq2p1/2p4p/2P5/1P3p1P/P5P1/1Q1P1K2/R3R3 b - - 0 23,b,"[""d7g4""]",298,-301,-434,133,1000.0,0,cahxree_2024_2025.pgn#13#ply46,2025-12-02 21:19:03,0
91,4Q1k1/ppp2rp1/2p4p/2P5/1P5P/P3R2K/3q4/6R1 b - - 3 29,b,"[""g8h7""]",538,-540,-100000,99460,1150.0,0,cahxree_2024_2025.pgn#13#ply58,2025-12-02 21:19:05,0
92,r2qk2r/pp2ppbp/3p1np1/4n1B1/4P1b1/2PB1N2/PP1NQPPP/R3K2R b KQkq - 5 10,b,"[""d8a5""]",-13,18,-36,54,1000.0,0,cahxree_2024_2025.pgn#14#ply20,2025-12-02 21:19:10,0
93,r2qk2r/pp2ppbp/3p2p1/4n1Bn/4P1b1/2P2N2/PPBNQPPP/R3K2R b KQkq - 7 11,b,"[""d8a5""]",-49,53,-52,105,1000.0,0,cahxree_2024_2025.pgn#14#ply22,2025-12-02 21:19:11,0
94,r3k2r/pp2ppb1/3p2pp/q3n2n/4P1b1/1BP1BN2/PP1NQPPP/R3K2R b KQkq - 3 13,b,"[""e8g8""]",21,-18,-82,64,1000.0,0,cahxree_2024_2025.pgn#14#ply26,2025-12-02 21:19:12,0
95,r3k2r/pp1bppb1/3p2pp/q6n/4PP2/1BP1B3/PP1NQP1P/R3K2R b KQkq - 0 15,b,"[""d7b5""]",61,-61,-143,82,1000.0,0,cahxree_2024_2025.pgn#14#ply30,2025-12-02 21:20:57,0
96,2r1k2r/pp1bppb1/3p1npp/q7/3BPP2/1BP5/PP1NQP1P/R3K1R1 b Qk - 4 17,b,"[""e8f8""]",133,-142,-242,100,1000.0,0,cahxree_2024_2025.pgn#14#ply34,2025-12-02 21:20:58,0
97,2r1k2r/pp1b1pb1/5npp/q3p3/4P3/1BP1B3/PP1NQP1P/R3K1R1 b Qk - 1 19,b,"[""c8c6""]",68,-81,-278,197,1000.0,0,cahxree_2024_2025.pgn#14#ply38,2025-12-02 21:20:59,0
98,2r2rk1/pp1b1pb1/5nRp/q3p3/4P3/1BP1B3/PP1NQP1P/R3K3 b Q - 0 20,b,"[""g8h8""]",286,-300,-538,238,1000.0,0,cahxree_2024_2025.pgn#14#ply40,2025-12-02 21:20:59,0
99,2r2r1k/p4pb1/7p/qp2pQ2/4P3/1BP1B3/PP1N1P1P/2K3R1 b - - 1 25,b,"[""c8c3""]",505,-482,-683,201,1000.0,0,cahxree_2024_2025.pgn#14#ply50,2025-12-02 21:21:02,0
100,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,b,"[""d7d5""]",33,-31,-81,50,1000.0,0,cahxree_2024_2025.pgn#15#ply2,2025-12-02 21:21:02,0
101,rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,b,"[""e7e6""]",29,-19,-78,59,1000.0,0,cahxree_2024_2025.pgn#15#ply4,2025-12-02 21:21:02,0
102,rnbqk2r/pp1ppp1p/5np1/2P5/5B2/4PN2/P1PN1PPP/Q3KB1R b Kkq - 2 7,b,"[""b7b6""]",-77,85,-18,103,1000.0,0,cahxree_2024_2025.pgn#15#ply14,2025-12-02 21:21:05,0
103,r1bqk2r/pp1ppp1p/2n2npB/2P5/8/4PN2/P1PN1PPP/Q3KB1R b Kkq - 4 8,b,"[""h8g8""]",-88,90,36,54,1000.0,0,cahxree_2024_2025.pgn#15#ply16,2025-12-02 21:21:05,0
104,r1b1k2r/pp1ppp1p/2n2npB/q1P1N3/8/4P3/P1PN1PPP/Q3KB1R b Kkq - 6 9,b,"[""h8g8""]",-257,247,132,115,1000.0,0,cahxree_2024_2025.pgn#15#ply18,2025-12-02 21:21:06,0
105,r1b1k2r/pp1ppp1p/2n2npB/2q1N3/8/4PN2/P1P2PPP/Q3KB1R b Kkq - 1 10,b,"[""c5a5""]",-396,400,153,247,1050.0,0,cahxree_2024_2025.pgn#15#ply20,2025-12-02 21:21:06,1
106,r1b1k2r/pp2pp1p/2N3pB/3n4/8/4PN2/P1q2PPP/Q3K2R b Kkq - 0 13,b,"[""c2c3""]",-431,446,312,134,1050.0,0,cahxree_2024_2025.pgn#15#ply26,2025-12-02 21:21:08,0
107,r1b1k1r1/pp2pp1p/6pB/3n4/1q1N4/3KPN2/P4PPP/Q6R b q - 8 17,b,"[""b7b6""]",-584,584,513,71,1050.0,0,cahxree_2024_2025.pgn#15#ply34,2025-12-02 21:21:10,0
108,r2qkb1r/1pp1ppp1/p1n5/3p1b1p/3PnB2/P1N1PN1P/1PP1BPP1/R2QK2R b KQkq - 2 8,b,"[""e4c3""]",21,-22,-220,198,1000.0,0,cahxree_2024_2025.pgn#16#ply16,2025-12-02 21:21:14,0
